"","X","Month_Year","Mean_Temperature","state","observation_count_sum","presence_count","observation_per_min_avg","common_name","obs_per_min_log10","Month","Year","Season"
"1",1,2010-01-01,21.3344899738448,"Maine",0,0,0,"Osprey",-Inf,1,2010,1
"2",2,2010-02-01,25.6824017857143,"Maine",0,0,0,"Osprey",-Inf,2,2010,1
"3",3,2010-03-01,35.7316612903226,"Maine",1,1,0.00208333333333333,"Osprey",-2.68124123737559,3,2010,2
"4",4,2010-04-01,46.0832,"Maine",294,82,0.0386762262048156,"Osprey",-1.41255590838378,4,2010,2
"5",5,2010-05-01,55.9773599320883,"Maine",332,159,0.0326704927896707,"Osprey",-1.48584431473728,5,2010,2
"6",6,2010-06-01,61.9116578947368,"Maine",282,175,0.0309158543461815,"Osprey",-1.50981874746025,6,2010,3
"7",7,2010-07-01,70.1997820401046,"Maine",225,123,0.0251579720069058,"Osprey",-1.59932437044886,7,2010,3
"8",8,2010-08-01,66.4344168734491,"Maine",215,127,0.0280662908386145,"Osprey",-1.55181497870013,8,2010,3
"9",9,2010-09-01,59.7839512195122,"Maine",150,98,0.0345848699710245,"Osprey",-1.46111385280221,9,2010,4
"10",10,2010-10-01,46.303768686074,"Maine",54,36,0.0203937845128858,"Osprey",-1.69050217390056,10,2010,4
"11",11,2010-11-01,35.7273902439024,"Maine",0,0,0,"Osprey",-Inf,11,2010,4
"12",12,2010-12-01,24.9217062818336,"Maine",0,0,0,"Osprey",-Inf,12,2010,1
"13",13,2011-01-01,16.7677419354839,"Maine",0,0,0,"Osprey",-Inf,1,2011,1
"14",14,2011-02-01,16.8825568181818,"Maine",0,0,0,"Osprey",-Inf,2,2011,1
"15",15,2011-03-01,27.7178110599078,"Maine",2,1,0.133333333333333,"Osprey",-0.8750612633917,3,2011,2
"16",16,2011-04-01,40.4512857142857,"Maine",331,160,0.0455898517153771,"Osprey",-1.34113182037312,4,2011,2
"17",17,2011-05-01,53.0574508261212,"Maine",304,162,0.0295002488014654,"Osprey",-1.53017432122021,5,2011,2
"18",18,2011-06-01,61.168175,"Maine",300,170,0.0245756652783431,"Osprey",-1.60949471671851,6,2011,3
"19",19,2011-07-01,68.8701382488479,"Maine",263,143,0.0433086235760139,"Osprey",-1.36342561869087,7,2011,3
"20",20,2011-08-01,65.6202258064516,"Maine",284,151,0.0282614027337576,"Osprey",-1.54880628606808,8,2011,3
"21",21,2011-09-01,59.9234418604651,"Maine",190,92,0.0279031168184797,"Osprey",-1.55434728269545,9,2011,4
"22",22,2011-10-01,48.4621198156682,"Maine",29,25,0.0172114834280052,"Osprey",-1.76418169696861,10,2011,4
"23",23,2011-11-01,39.5659285714286,"Maine",0,0,0,"Osprey",-Inf,11,2011,4
"24",24,2011-12-01,27.0168421052632,"Maine",0,0,0,"Osprey",-Inf,12,2011,1
"25",25,2012-01-01,19.3785314091681,"Maine",0,0,0,"Osprey",-Inf,1,2012,1
"26",26,2012-02-01,22.746497277677,"Maine",0,0,0,"Osprey",-Inf,2,2012,1
"27",27,2012-03-01,34.9326036866359,"Maine",7,4,0.220626293995859,"Osprey",-0.65634273007892,3,2012,2
"28",28,2012-04-01,43.0157073170732,"Maine",288,159,0.0564731807768368,"Osprey",-1.24815775051485,4,2012,2
"29",29,2012-05-01,54.5073306451613,"Maine",362,235,0.0337361633257087,"Osprey",-1.4719043094534,5,2012,2
"30",30,2012-06-01,60.9658108108108,"Maine",517,290,0.0375938097668326,"Osprey",-1.42488366053591,6,2012,3
"31",31,2012-07-01,68.579331797235,"Maine",441,263,0.0260159289997991,"Osprey",-1.58476066131963,7,2012,3
"32",32,2012-08-01,68.1135161290322,"Maine",503,263,0.0417676934521125,"Osprey",-1.37915950722658,8,2012,3
"33",33,2012-09-01,56.7582142857143,"Maine",280,163,0.0232167172017939,"Osprey",-1.63419918864297,9,2012,4
"34",34,2012-10-01,48.9037419354839,"Maine",101,78,0.0181803899107366,"Osprey",-1.74039680679802,10,2012,4
"35",35,2012-11-01,33.6533846153846,"Maine",2,2,0.0192307692307692,"Osprey",-1.7160033436348,11,2012,4
"36",36,2012-12-01,25.5376370967742,"Maine",0,0,0,"Osprey",-Inf,12,2012,1
"37",37,2013-01-01,17.0768528717545,"Maine",0,0,0,"Osprey",-Inf,1,2013,1
"38",38,2013-02-01,20.7824642857143,"Maine",0,0,0,"Osprey",-Inf,2,2013,1
"39",39,2013-03-01,30.9513690007868,"Maine",3,2,0.0559523809523809,"Osprey",-1.25218142812616,3,2013,2
"40",40,2013-04-01,39.8869302325581,"Maine",475,254,0.049889164037884,"Osprey",-1.30199377320605,4,2013,2
"41",41,2013-05-01,52.925,"Maine",531,339,0.0535870361155634,"Osprey",-1.27094026300215,5,2013,2
"42",42,2013-06-01,62.0773720930233,"Maine",434,261,0.0393081213189947,"Osprey",-1.40551771222903,6,2013,3
"43",43,2013-07-01,69.2544767899292,"Maine",449,255,0.0488449324244699,"Osprey",-1.31118048689405,7,2013,3
"44",44,2013-08-01,64.5759638080252,"Maine",536,316,0.0269000381646394,"Osprey",-1.57024710383846,8,2013,3
"45",45,2013-09-01,57.6220769230769,"Maine",246,157,0.01579389075896,"Osprey",-1.8015108701817,9,2013,4
"46",46,2013-10-01,48.2460887096774,"Maine",36,29,0.0395026997144764,"Osprey",-1.40337322257521,10,2013,4
"47",47,2013-11-01,33.1760714285714,"Maine",0,0,0,"Osprey",-Inf,11,2013,4
"48",48,2013-12-01,18.2054753820034,"Maine",0,0,0,"Osprey",-Inf,12,2013,1
"49",49,2014-01-01,15.470590086546,"Maine",0,0,0,"Osprey",-Inf,1,2014,1
"50",50,2014-02-01,16.5066836734694,"Maine",0,0,0,"Osprey",-Inf,2,2014,1
"51",51,2014-03-01,19.2671597167585,"Maine",0,0,0,"Osprey",-Inf,3,2014,2
"52",52,2014-04-01,39.6270909090909,"Maine",885,315,0.071461053386996,"Osprey",-1.14593058627537,4,2014,2
"53",53,2014-05-01,52.5377569392348,"Maine",707,446,0.0310605429475609,"Osprey",-1.50779095694395,5,2014,2
"54",54,2014-06-01,62.2777142857143,"Maine",665,369,0.0353817461110927,"Osprey",-1.45122073819565,6,2014,3
"55",55,2014-07-01,68.2382670667667,"Maine",627,316,0.0418467860135951,"Osprey",-1.37833789179643,7,2014,3
"56",56,2014-08-01,65.211797235023,"Maine",646,363,0.0510213752110179,"Osprey",-1.29224783975783,8,2014,3
"57",57,2014-09-01,57.2814186046512,"Maine",328,189,0.0233145102283465,"Osprey",-1.63237370340746,9,2014,4
"58",58,2014-10-01,49.3377944486122,"Maine",47,36,0.0169204184650406,"Osprey",-1.77158890046894,10,2014,4
"59",59,2014-11-01,32.7658780487805,"Maine",0,0,0,"Osprey",-Inf,11,2014,4
"60",60,2014-12-01,27.1457373271889,"Maine",0,0,0,"Osprey",-Inf,12,2014,1
"61",61,2015-01-01,12.4939170506913,"Maine",0,0,0,"Osprey",-Inf,1,2015,1
"62",62,2015-02-01,5.96249169435216,"Maine",0,0,0,"Osprey",-Inf,2,2015,1
"63",63,2015-03-01,22.2273878835563,"Maine",0,0,0,"Osprey",-Inf,3,2015,2
"64",64,2015-04-01,38.6842857142857,"Maine",613,339,0.0577480391113309,"Osprey",-1.2384627580607,4,2015,2
"65",65,2015-05-01,56.8633870967742,"Maine",869,594,0.0486233635938735,"Osprey",-1.3131550014834,5,2015,2
"66",66,2015-06-01,58.5139302325581,"Maine",818,476,0.0385610754919554,"Osprey",-1.41385086186184,6,2015,3
"67",67,2015-07-01,65.9032177419355,"Maine",778,424,0.0395178747880698,"Osprey",-1.40320641916112,7,2015,3
"68",68,2015-08-01,67.913115656963,"Maine",559,347,0.040395300406579,"Osprey",-1.39366915781541,8,2015,3
"69",69,2015-09-01,62.7765714285714,"Maine",312,227,0.0244222521881203,"Osprey",-1.61221428847585,9,2015,4
"70",70,2015-10-01,44.2750564516129,"Maine",31,27,0.0186668966088728,"Osprey",-1.72892787796259,10,2015,4
"71",71,2015-11-01,37.836575,"Maine",1,1,0.0133333333333333,"Osprey",-1.8750612633917,11,2015,4
"72",72,2015-12-01,31.8889170506912,"Maine",0,0,0,"Osprey",-Inf,12,2015,1
"73",73,2016-01-01,20.9273092053501,"Maine",0,0,0,"Osprey",-Inf,1,2016,1
"74",74,2016-02-01,22.4315915119363,"Maine",0,0,0,"Osprey",-Inf,2,2016,1
"75",75,2016-03-01,30.3309216589862,"Maine",8,5,0.0252400339270568,"Osprey",-1.59791006565914,3,2016,2
"76",76,2016-04-01,38.6413023255814,"Maine",795,429,0.05761660809236,"Osprey",-1.2394523123543,4,2016,2
"77",77,2016-05-01,53.6062790697674,"Maine",1083,664,0.0372674577724688,"Osprey",-1.42867023195894,5,2016,2
"78",78,2016-06-01,61.366625,"Maine",968,564,0.0369311965769828,"Osprey",-1.43260662090678,6,2016,3
"79",79,2016-07-01,68.0245086271568,"Maine",881,523,0.0402572552369849,"Osprey",-1.39515583888769,7,2016,3
"80",80,2016-08-01,67.7109970674487,"Maine",930,549,0.0478517797018974,"Osprey",-1.32010190531994,8,2016,3
"81",81,2016-09-01,60.2336976744186,"Maine",533,325,0.0287845285141163,"Osprey",-1.54084087982339,9,2016,4
"82",82,2016-10-01,47.6383945986497,"Maine",34,30,0.0256178998943189,"Osprey",-1.59145647575028,10,2016,4
"83",83,2016-11-01,38.0006976744186,"Maine",0,0,0,"Osprey",-Inf,11,2016,4
"84",84,2016-12-01,21.5899527930763,"Maine",0,0,0,"Osprey",-Inf,12,2016,1
"85",85,2017-01-01,22.7212903225807,"Maine",0,0,0,"Osprey",-Inf,1,2017,1
"86",86,2017-02-01,21.3239285714286,"Maine",0,0,0,"Osprey",-Inf,2,2017,1
"87",87,2017-03-01,23.2326209677419,"Maine",0,0,0,"Osprey",-Inf,3,2017,2
"88",88,2017-04-01,42.9486097560976,"Maine",940,568,0.0496408815599461,"Osprey",-1.30416051457821,4,2017,2
"89",89,2017-05-01,51.6045852534562,"Maine",1162,720,0.0377586829486338,"Osprey",-1.42298316262917,5,2017,2
"90",90,2017-06-01,62.1273571428571,"Maine",1066,651,0.036586108419813,"Osprey",-1.4366837829617,6,2017,3
"91",91,2017-07-01,66.3199758064516,"Maine",943,537,0.0434120053748561,"Osprey",-1.36239015189182,7,2017,3
"92",92,2017-08-01,64.4189722430608,"Maine",1214,679,0.048991460816353,"Osprey",-1.30987961065548,8,2017,3
"93",93,2017-09-01,62.1059333333333,"Maine",699,427,0.0371304848156908,"Osprey",-1.43026938011926,9,2017,4
"94",94,2017-10-01,52.8098759305211,"Maine",59,54,0.0240955070012803,"Osprey",-1.61806393113734,10,2017,4
"95",95,2017-11-01,33.3577142857143,"Maine",0,0,0,"Osprey",-Inf,11,2017,4
"96",96,2017-12-01,17.4568433179723,"Maine",0,0,0,"Osprey",-Inf,12,2017,1
"97",97,2018-01-01,15.6477188940092,"Maine",0,0,0,"Osprey",-Inf,1,2018,1
"98",98,2018-02-01,22.9663675958188,"Maine",0,0,0,"Osprey",-Inf,2,2018,1
"99",99,2018-03-01,29.743995601173,"Maine",1,1,0.00833333333333333,"Osprey",-2.07918124604762,3,2018,2
"100",100,2018-04-01,37.6491363636364,"Maine",851,543,0.0858780248315592,"Osprey",-1.06611795276186,4,2018,2
"101",101,2018-05-01,54.6090570719603,"Maine",1810,1200,0.056461086230148,"Osprey",-1.2482507709071,5,2018,2
"102",102,2018-06-01,60.1171428571429,"Maine",1652,997,0.0708220371984678,"Osprey",-1.14983158490171,6,2018,3
"103",103,2018-07-01,69.756384096024,"Maine",1538,882,0.0569687007352349,"Osprey",-1.24436368522916,7,2018,3
"104",104,2018-08-01,69.1075806451613,"Maine",1667,912,0.0786028457491367,"Osprey",-1.10456173041384,8,2018,3
"105",105,2018-09-01,59.308,"Maine",830,503,0.0398568070272803,"Osprey",-1.39949749605139,9,2018,4
"106",106,2018-10-01,43.0893790322581,"Maine",77,59,0.0185474157638914,"Osprey",-1.73171659266163,10,2018,4
"107",107,2018-11-01,29.915512195122,"Maine",0,0,0,"Osprey",-Inf,11,2018,4
"108",108,2018-12-01,21.4908755760369,"Maine",0,0,0,"Osprey",-Inf,12,2018,1
"109",109,2019-01-01,15.2782488479263,"Maine",0,0,0,"Osprey",-Inf,1,2019,1
"110",110,2019-02-01,17.2072591362126,"Maine",0,0,0,"Osprey",-Inf,2,2019,1
"111",111,2019-03-01,25.1515668202765,"Maine",2,2,0.261111111111111,"Osprey",-0.583174647167589,3,2019,2
"112",112,2019-04-01,39.7210714285714,"Maine",1366,775,0.0920984430731996,"Osprey",-1.03574771150167,4,2019,2
"113",113,2019-05-01,49.2958664666167,"Maine",2373,1525,0.050927635040748,"Osprey",-1.29304649096697,5,2019,2
"114",114,2019-06-01,60.5943783783784,"Maine",1843,1193,0.0570951525754337,"Osprey",-1.24340076214128,6,2019,3
"115",115,2019-07-01,69.5159193548387,"Maine",1688,987,0.0779865489426996,"Osprey",-1.10798029761362,7,2019,3
"116",116,2019-08-01,65.6303870967742,"Maine",1829,1043,0.0681386733094947,"Osprey",-1.16660632659401,8,2019,3
"117",117,2019-09-01,56.813075,"Maine",958,625,0.0382587600437698,"Osprey",-1.41726910944921,9,2019,4
"118",118,2019-10-01,46.8891935483871,"Maine",63,44,0.0244759441706637,"Osprey",-1.61126054609479,10,2019,4
"119",119,2019-11-01,30.699125,"Maine",1,1,0.0294117647058824,"Osprey",-1.53147891704226,11,2019,4
"120",120,2019-12-01,23.657617866005,"Maine",0,0,0,"Osprey",-Inf,12,2019,1
"121",121,2020-01-01,21.7778769692423,"Maine",0,0,0,"Osprey",-Inf,1,2020,1
"122",122,2020-02-01,20.6212466843501,"Maine",0,0,0,"Osprey",-Inf,2,2020,1
"123",123,2020-03-01,30.7068894009217,"Maine",1,1,0.2,"Osprey",-0.698970004336019,3,2020,2
"124",124,2020-04-01,38.6657073170732,"Maine",1339,750,0.0696255433883205,"Osprey",-1.15723140238011,4,2020,2
"125",125,2020-05-01,52.1269949066214,"Maine",2912,1881,0.0421270027018741,"Osprey",-1.3754394394334,5,2020,2
"126",126,2020-06-01,63.5568604651163,"Maine",1363,923,0.0422648510093119,"Osprey",-1.37402065764652,6,2020,3
"127",127,2020-07-01,69.7661774193548,"Maine",1462,904,0.0551872102462287,"Osprey",-1.25816155928301,7,2020,3
"128",128,2020-08-01,66.7509429280397,"Maine",2276,1309,0.0544453492839637,"Osprey",-1.26403921171305,8,2020,3
"129",129,2020-09-01,58.1116153846154,"Maine",1306,765,0.0353052735589888,"Osprey",-1.45216041907363,9,2020,4
"130",130,2020-10-01,45.8288248847926,"Maine",150,127,0.0184874650104622,"Osprey",-1.7331226349438,10,2020,4
"131",131,2020-11-01,37.8006428571429,"Maine",2,2,0.15,"Osprey",-0.823908740944319,11,2020,4
"132",132,2020-12-01,27.739551534225,"Maine",0,0,0,"Osprey",-Inf,12,2020,1
"133",133,2021-01-01,22.258615263572,"Maine",0,0,0,"Osprey",-Inf,1,2021,1
"134",134,2021-02-01,18.595521978022,"Maine",0,0,0,"Osprey",-Inf,2,2021,1
"135",135,2021-03-01,30.0877419354839,"Maine",0,0,0,"Osprey",-Inf,3,2021,2
"136",1,2010-01-01,21.3344899738448,"Maine",2,2,0.00188746438746439,"Red-Winged Blackbird",-2.72412123385698,1,2010,1
"137",2,2010-02-01,25.6824017857143,"Maine",2,2,0.0257575757575758,"Red-Winged Blackbird",-1.58909501416359,2,2010,1
"138",3,2010-03-01,35.7316612903226,"Maine",1442,137,0.278740450653015,"Red-Winged Blackbird",-0.55480000214913,3,2010,2
"139",4,2010-04-01,46.0832,"Maine",1329,248,0.163720175300262,"Red-Winged Blackbird",-0.785897799013968,4,2010,2
"140",5,2010-05-01,55.9773599320883,"Maine",2990,482,0.127621194559203,"Red-Winged Blackbird",-0.894077194613783,5,2010,2
"141",6,2010-06-01,61.9116578947368,"Maine",2102,298,0.147834108748248,"Red-Winged Blackbird",-0.8302253525979,6,2010,3
"142",7,2010-07-01,70.1997820401046,"Maine",1383,196,0.11089147000336,"Red-Winged Blackbird",-0.955101859377872,7,2010,3
"143",8,2010-08-01,66.4344168734491,"Maine",305,39,0.224895922154285,"Red-Winged Blackbird",-0.648018419183967,8,2010,3
"144",9,2010-09-01,59.7839512195122,"Maine",699,21,0.711635283628991,"Red-Winged Blackbird",-0.147742527275172,9,2010,4
"145",10,2010-10-01,46.303768686074,"Maine",524,49,0.118302246473682,"Red-Winged Blackbird",-0.927007008357187,10,2010,4
"146",11,2010-11-01,35.7273902439024,"Maine",289,20,0.252226902726903,"Red-Winged Blackbird",-0.598208593089174,11,2010,4
"147",12,2010-12-01,24.9217062818336,"Maine",0,0,0,"Red-Winged Blackbird",-Inf,12,2010,1
"148",13,2011-01-01,16.7677419354839,"Maine",0,0,0,"Red-Winged Blackbird",-Inf,1,2011,1
"149",14,2011-02-01,16.8825568181818,"Maine",26,2,1.25208333333333,"Red-Winged Blackbird",0.0976332346271523,2,2011,1
"150",15,2011-03-01,27.7178110599078,"Maine",1468,197,0.217566910505149,"Red-Winged Blackbird",-0.662407155287138,3,2011,2
"151",16,2011-04-01,40.4512857142857,"Maine",2776,411,0.206424992476684,"Red-Winged Blackbird",-0.685237722560242,4,2011,2
"152",17,2011-05-01,53.0574508261212,"Maine",3899,596,0.128992138082074,"Red-Winged Blackbird",-0.889436758628053,5,2011,2
"153",18,2011-06-01,61.168175,"Maine",2507,360,0.130885070116993,"Red-Winged Blackbird",-0.883109890008449,6,2011,3
"154",19,2011-07-01,68.8701382488479,"Maine",1310,248,0.106965368854671,"Red-Winged Blackbird",-0.970756806891912,7,2011,3
