"","Month_Year","Mean_Temperature","state","observation_count_sum","presence_count","observation_per_min_avg","common_name","obs_per_min_log10"
"1",2010-01-01,21.3344899738448,"Maine",2,2,0.00188746438746439,"Red-Winged Blackbird",-2.72412123385698
"2",2010-02-01,25.6824017857143,"Maine",2,2,0.0257575757575758,"Red-Winged Blackbird",-1.58909501416359
"3",2010-03-01,35.7316612903226,"Maine",1442,137,0.278740450653015,"Red-Winged Blackbird",-0.55480000214913
"4",2010-04-01,46.0832,"Maine",1329,248,0.163720175300262,"Red-Winged Blackbird",-0.785897799013968
"5",2010-05-01,55.9773599320883,"Maine",2990,482,0.127621194559203,"Red-Winged Blackbird",-0.894077194613783
"6",2010-06-01,61.9116578947368,"Maine",2102,298,0.147834108748248,"Red-Winged Blackbird",-0.8302253525979
"7",2010-07-01,70.1997820401046,"Maine",1383,196,0.11089147000336,"Red-Winged Blackbird",-0.955101859377872
"8",2010-08-01,66.4344168734491,"Maine",305,39,0.224895922154285,"Red-Winged Blackbird",-0.648018419183967
"9",2010-09-01,59.7839512195122,"Maine",699,21,0.711635283628991,"Red-Winged Blackbird",-0.147742527275172
"10",2010-10-01,46.303768686074,"Maine",524,49,0.118302246473682,"Red-Winged Blackbird",-0.927007008357187
"11",2010-11-01,35.7273902439024,"Maine",289,20,0.252226902726903,"Red-Winged Blackbird",-0.598208593089174
"12",2010-12-01,24.9217062818336,"Maine",0,0,0,"Red-Winged Blackbird",-Inf
"13",2011-01-01,16.7677419354839,"Maine",0,0,0,"Red-Winged Blackbird",-Inf
"14",2011-02-01,16.8825568181818,"Maine",26,2,1.25208333333333,"Red-Winged Blackbird",0.0976332346271523
"15",2011-03-01,27.7178110599078,"Maine",1468,197,0.217566910505149,"Red-Winged Blackbird",-0.662407155287138
"16",2011-04-01,40.4512857142857,"Maine",2776,411,0.206424992476684,"Red-Winged Blackbird",-0.685237722560242
"17",2011-05-01,53.0574508261212,"Maine",3899,596,0.128992138082074,"Red-Winged Blackbird",-0.889436758628053
"18",2011-06-01,61.168175,"Maine",2507,360,0.130885070116993,"Red-Winged Blackbird",-0.883109890008449
"19",2011-07-01,68.8701382488479,"Maine",1310,248,0.106965368854671,"Red-Winged Blackbird",-0.970756806891912
"20",2011-08-01,65.6202258064516,"Maine",682,76,0.11983656686383,"Red-Winged Blackbird",-0.921410641345639
"21",2011-09-01,59.9234418604651,"Maine",84,21,0.0841965156250871,"Red-Winged Blackbird",-1.0747058809007
"22",2011-10-01,48.4621198156682,"Maine",577,60,0.153873466432992,"Red-Winged Blackbird",-0.812836262398616
"23",2011-11-01,39.5659285714286,"Maine",981,37,0.401507608901752,"Red-Winged Blackbird",-0.396306220067162
"24",2011-12-01,27.0168421052632,"Maine",0,0,0,"Red-Winged Blackbird",-Inf
"25",2012-01-01,19.3785314091681,"Maine",2,2,0.00330687830687831,"Red-Winged Blackbird",-2.48058178682917
"26",2012-02-01,22.746497277677,"Maine",146,25,0.189808565438754,"Red-Winged Blackbird",-0.72168419317927
"27",2012-03-01,34.9326036866359,"Maine",4784,350,0.34187906791718,"Red-Winged Blackbird",-0.466127488751091
"28",2012-04-01,43.0157073170732,"Maine",3054,529,0.193577225416688,"Red-Winged Blackbird",-0.713145739267675
"29",2012-05-01,54.5073306451613,"Maine",4344,796,0.128299160903286,"Red-Winged Blackbird",-0.891776183970077
"30",2012-06-01,60.9658108108108,"Maine",2782,519,0.115975383875014,"Red-Winged Blackbird",-0.935634181305222
"31",2012-07-01,68.579331797235,"Maine",1495,308,0.0887358580050263,"Red-Winged Blackbird",-1.05190084705899
"32",2012-08-01,68.1135161290322,"Maine",754,136,0.0903256112859328,"Red-Winged Blackbird",-1.04418909062671
"33",2012-09-01,56.7582142857143,"Maine",216,37,0.13681789350907,"Red-Winged Blackbird",-0.863857100393194
"34",2012-10-01,48.9037419354839,"Maine",1304,52,0.729954496213956,"Red-Winged Blackbird",-0.136704212015343
"35",2012-11-01,33.6533846153846,"Maine",414,49,0.122192993430414,"Red-Winged Blackbird",-0.912953695908089
"36",2012-12-01,25.5376370967742,"Maine",6,3,0.0497685185185185,"Red-Winged Blackbird",-1.30304528689931
