"common_name","state","observation_count","observations_per_min_avg","presence_count","Month_Year","AvgMonthlyTemp_F","Month","Year","Season"
"Osprey","Massachusetts",50,0.0213181609112169,31,2010-03-01,41.6835483870968,3,2010,2
"Osprey","Massachusetts",710,0.0481801722835603,320,2010-04-01,50.6130465116279,4,2010,2
"Osprey","Massachusetts",943,0.0322514804084732,475,2010-05-01,60.3645161290323,5,2010,2
"Osprey","Massachusetts",563,0.078129965327054,245,2010-06-01,68.2840232558139,6,2010,3
"Osprey","Massachusetts",661,0.0384693123106473,266,2010-07-01,74.8229593267882,7,2010,3
"Osprey","Massachusetts",723,0.0266823932811026,313,2010-08-01,70.9345014662757,8,2010,3
"Osprey","Massachusetts",400,0.0236552272786914,253,2010-09-01,65.4812954545455,9,2010,4
"Osprey","Massachusetts",153,0.0265778760937107,114,2010-10-01,52.3573502304147,10,2010,4
"Osprey","Massachusetts",19,0.0206984063083097,18,2010-11-01,41.801,11,2010,4
"Osprey","Massachusetts",1,0.05,1,2010-12-01,29.3723281907433,12,2010,1
"Osprey","Massachusetts",98,0.0501780576621174,64,2011-03-01,35.7862129032258,3,2011,2
"Osprey","Massachusetts",753,0.0366622397002463,429,2011-04-01,47.83712,4,2011,2
"Osprey","Massachusetts",979,0.034004783918011,515,2011-05-01,58.2953739002933,5,2011,2
"Osprey","Massachusetts",729,0.039389615809934,308,2011-06-01,65.2610638297872,6,2011,3
"Osprey","Massachusetts",883,0.041434227412053,312,2011-07-01,73.1758339052848,7,2011,3
"Osprey","Massachusetts",845,0.0336272739151971,402,2011-08-01,70.5884621155289,8,2011,3
"Osprey","Massachusetts",407,0.020753822857146,236,2011-09-01,65.4393125,9,2011,4
"Osprey","Massachusetts",70,0.0194134459959711,61,2011-10-01,53.4617073170732,10,2011,4
"Osprey","Massachusetts",6,0.025489417989418,6,2011-11-01,46.186625,11,2011,4
"Osprey","Massachusetts",155,0.0492254835309019,104,2012-03-01,43.9299725463281,3,2012,2
"Osprey","Massachusetts",1097,0.0402050305937538,516,2012-04-01,49.2713529411765,4,2012,2
"Osprey","Massachusetts",1275,0.0365606109468828,635,2012-05-01,60.0282978723404,5,2012,2
"Osprey","Massachusetts",835,0.0324966466462418,353,2012-06-01,65.1372352941176,6,2012,3
"Osprey","Massachusetts",993,0.0534162977540628,416,2012-07-01,73.5691129032258,7,2012,3
"Osprey","Massachusetts",1025,0.0299419240840328,456,2012-08-01,72.4226227208976,8,2012,3
"Osprey","Massachusetts",650,0.034047123132252,364,2012-09-01,62.67746,9,2012,4
"Osprey","Massachusetts",343,0.0277318634690985,225,2012-10-01,53.9055040322581,10,2012,4
"Osprey","Massachusetts",73,0.0339105525548993,58,2012-11-01,39.8664565217391,11,2012,4
"Osprey","Massachusetts",4,0.0888888888888889,4,2012-12-01,35.5828225806452,12,2012,1
"Osprey","Massachusetts",252,0.0724441661862144,159,2013-03-01,35.5456925996205,3,2013,2
"Osprey","Massachusetts",1932,0.0561323889488636,885,2013-04-01,46.720875,4,2013,2
"Osprey","Massachusetts",1940,0.0464842770139815,986,2013-05-01,57.7919618169849,5,2013,2
"Osprey","Massachusetts",1284,0.0311115256020689,529,2013-06-01,67.19252,6,2013,3
"Osprey","Massachusetts",1302,0.0430414623828561,503,2013-07-01,75.39818959842,7,2013,3
"Osprey","Massachusetts",1432,0.0348749621769367,655,2013-08-01,68.5961092824226,8,2013,3
"Osprey","Massachusetts",818,0.0266602340431661,457,2013-09-01,61.5058125,9,2013,4
"Osprey","Massachusetts",169,0.041850399638839,136,2013-10-01,52.281935483871,10,2013,4
"Osprey","Massachusetts",33,0.0972893067575162,27,2013-11-01,39.5431875,11,2013,4
"Osprey","Massachusetts",199,0.0936384841433335,135,2014-03-01,29.8226387096774,3,2014,2
"Osprey","Massachusetts",2268,0.066089297016926,1074,2014-04-01,46.07066,4,2014,2
"Osprey","Massachusetts",2515,0.0408846537483446,1259,2014-05-01,57.243664516129,5,2014,2
"Osprey","Massachusetts",1603,0.0450041972344604,700,2014-06-01,66.053,6,2014,3
"Osprey","Massachusetts",2255,0.0573676184177608,834,2014-07-01,71.5809746053535,7,2014,3
"Osprey","Massachusetts",2385,0.0501536925535275,1013,2014-08-01,67.6474838709677,8,2014,3
"Osprey","Massachusetts",933,0.0346327389004705,563,2014-09-01,62.8805,9,2014,4
"Osprey","Massachusetts",249,0.030641577724751,171,2014-10-01,53.6208274894811,10,2014,4
"Osprey","Massachusetts",37,0.0651760359904919,37,2014-11-01,39.5596808510638,11,2014,4
"Osprey","Massachusetts",5,0.0326825396825397,5,2014-12-01,35.8349798387097,12,2014,1
"Osprey","Massachusetts",125,0.0616187474450958,87,2015-03-01,29.8585685483871,3,2015,2
"Osprey","Massachusetts",2565,0.0581277590444778,1204,2015-04-01,45.8515744680851,4,2015,2
"Osprey","Massachusetts",2557,0.0437357915107657,1347,2015-05-01,61.4775403225806,5,2015,2
"Osprey","Massachusetts",1387,0.0477582370519611,631,2015-06-01,63.7288125,6,2015,3
"Osprey","Massachusetts",1882,0.0431269436384449,775,2015-07-01,71.4760151802656,7,2015,3
"Osprey","Massachusetts",2012,0.0355729913845484,965,2015-08-01,72.097587657784,8,2015,3
"Osprey","Massachusetts",1023,0.0259067955904418,631,2015-09-01,66.5470816326531,9,2015,4
"Osprey","Massachusetts",144,0.0316441486300554,127,2015-10-01,50.7000921658986,10,2015,4
"Osprey","Massachusetts",22,0.0295278706430227,21,2015-11-01,45.2705319148936,11,2015,4
"Osprey","Massachusetts",2,0.0181533646322379,2,2015-12-01,42.769608785175,12,2015,1
"Osprey","Massachusetts",324,0.0651389431219493,182,2016-03-01,41.0713452299245,3,2016,2
"Osprey","Massachusetts",2355,0.0525496619693255,1154,2016-04-01,45.3402,4,2016,2
"Osprey","Massachusetts",3074,0.0397837743726794,1652,2016-05-01,57.2537405628003,5,2016,2
"Osprey","Massachusetts",2064,0.0404264364352675,979,2016-06-01,66.450125,6,2016,3
"Osprey","Massachusetts",2812,0.0631510657800383,1061,2016-07-01,73.2790967741935,7,2016,3
"Osprey","Massachusetts",2892,0.0360805545518805,1259,2016-08-01,73.1702217741935,8,2016,3
"Osprey","Massachusetts",1373,0.0307302717883165,864,2016-09-01,65.2137021276596,9,2016,4
"Osprey","Massachusetts",192,0.031419390112661,168,2016-10-01,52.7074061882818,10,2016,4
"Osprey","Massachusetts",32,0.102613725002237,31,2016-11-01,43.0043673469388,11,2016,4
"Osprey","Massachusetts",10,0.167110465176827,10,2016-12-01,32.2358709677419,12,2016,1
"Osprey","Massachusetts",2,0.0315091210613599,2,2017-01-01,32.1726530612245,1,2017,1
"Osprey","Massachusetts",240,0.0686930123741113,152,2017-03-01,31.8796050032916,3,2017,2
"Osprey","Massachusetts",3428,0.0602685257852057,1586,2017-04-01,50.3892,4,2017,2
"Osprey","Massachusetts",3581,0.0416330155473546,1884,2017-05-01,55.3712976539589,5,2017,2
"Osprey","Massachusetts",2284,0.0537813704457254,1014,2017-06-01,66.382625,6,2017,3
"Osprey","Massachusetts",3152,0.0592199539130776,1211,2017-07-01,70.4561290322581,7,2017,3
"Osprey","Massachusetts",3451,0.0492479101954127,1510,2017-08-01,68.8856732117812,8,2017,3
"Osprey","Massachusetts",1317,0.0271961177872354,804,2017-09-01,65.5350909090909,9,2017,4
"Osprey","Massachusetts",165,0.0238657010359135,139,2017-10-01,58.1539876458476,10,2017,4
"Osprey","Massachusetts",31,0.0377365385747739,30,2017-11-01,41.486488372093,11,2017,4
"Osprey","Massachusetts",1,0.0263157894736842,1,2017-12-01,27.6883225806452,12,2017,1
"Osprey","Massachusetts",289,0.0860981672011729,189,2018-03-01,35.2672619984264,3,2018,2
"Osprey","Massachusetts",4279,0.090018778658612,1898,2018-04-01,43.0898,4,2018,2
"Osprey","Massachusetts",4530,0.0485094554724349,2285,2018-05-01,60.7721413864104,5,2018,2
"Osprey","Massachusetts",3006,0.0565772622266557,1343,2018-06-01,65.0836808510638,6,2018,3
"Osprey","Massachusetts",4115,0.0673607872944697,1440,2018-07-01,73.7805350118017,7,2018,3
"Osprey","Massachusetts",4387,0.0667729866134165,1762,2018-08-01,74.1587920384351,8,2018,3
"Osprey","Massachusetts",1863,0.0417825548869357,1054,2018-09-01,65.6549574468085,9,2018,4
"Osprey","Massachusetts",251,0.0366358250950423,226,2018-10-01,50.7586306780777,10,2018,4
"Osprey","Massachusetts",26,0.0359382001897523,26,2018-11-01,39.0326382978723,11,2018,4
"Osprey","Massachusetts",4,0.023205660382654,4,2018-12-01,32.830754975978,12,2018,1
"Osprey","Massachusetts",509,0.0910091819360262,353,2019-03-01,34.2024982841455,3,2019,2
"Osprey","Massachusetts",4471,0.123239242734849,2144,2019-04-01,48.1608043478261,4,2019,2
"Osprey","Massachusetts",5399,0.0784046680922546,2757,2019-05-01,55.1479242636746,5,2019,2
"Osprey","Massachusetts",3552,0.0884446704617659,1628,2019-06-01,65.7737446808511,6,2019,3
"Osprey","Massachusetts",3658,0.105015862107889,1378,2019-07-01,74.5113674614306,7,2019,3
"Osprey","Massachusetts",5139,0.0675943390869111,2104,2019-08-01,70.6013508064516,8,2019,3
"Osprey","Massachusetts",2057,0.0535993140672898,1232,2019-09-01,62.6773333333333,9,2019,4
"Osprey","Massachusetts",259,0.0471912873205542,213,2019-10-01,52.8190322580645,10,2019,4
"Osprey","Massachusetts",31,0.0525156009725614,30,2019-11-01,38.2762307692308,11,2019,4
"Osprey","Massachusetts",773,0.0882484429567711,409,2020-03-01,40.3343582704187,3,2020,2
"Osprey","Massachusetts",5802,0.0672069815855497,2616,2020-04-01,43.2592553191489,4,2020,2
"Osprey","Massachusetts",7768,0.0485630747615126,3958,2020-05-01,56.1468548387097,5,2020,2
"Osprey","Massachusetts",4595,0.0630074514580632,2049,2020-06-01,67.8884130434783,6,2020,3
"Osprey","Massachusetts",5832,0.070066666236371,2175,2020-07-01,74.7236816269285,7,2020,3
"Osprey","Massachusetts",7306,0.0535443881124117,3009,2020-08-01,72.380637829912,8,2020,3
"Osprey","Massachusetts",2914,0.03049638526535,1837,2020-09-01,63.3872558139535,9,2020,4
"Osprey","Massachusetts",543,0.0262495736680939,412,2020-10-01,52.9130571847507,10,2020,4
"Osprey","Massachusetts",62,0.0294904704915251,62,2020-11-01,45.4484782608696,11,2020,4
"Osprey","Massachusetts",5,0.0476282051282051,5,2020-12-01,34.1724159231297,12,2020,1
"Red-winged Blackbird","Massachusetts",11702,2.11949467359858,149,2010-01-01,26.949706744868,1,2010,1
"Red-winged Blackbird","Massachusetts",6141,0.400645843430448,180,2010-02-01,30.4433571428571,2,2010,1
"Red-winged Blackbird","Massachusetts",15980,0.506954201878124,816,2010-03-01,41.6835483870968,3,2010,2
"Red-winged Blackbird","Massachusetts",13963,0.196458169963777,1326,2010-04-01,50.6130465116279,4,2010,2
"Red-winged Blackbird","Massachusetts",17870,0.116768520294137,1880,2010-05-01,60.3645161290323,5,2010,2
"Red-winged Blackbird","Massachusetts",6277,0.148397777527218,770,2010-06-01,68.2840232558139,6,2010,3
"Red-winged Blackbird","Massachusetts",4975,0.127349868645656,576,2010-07-01,74.8229593267882,7,2010,3
"Red-winged Blackbird","Massachusetts",4321,0.134077820378376,294,2010-08-01,70.9345014662757,8,2010,3
"Red-winged Blackbird","Massachusetts",7970,0.406774558639922,208,2010-09-01,65.4812954545455,9,2010,4
"Red-winged Blackbird","Massachusetts",37721,1.01470628776573,382,2010-10-01,52.3573502304147,10,2010,4
"Red-winged Blackbird","Massachusetts",3319,0.433714821519001,124,2010-11-01,41.801,11,2010,4
"Red-winged Blackbird","Massachusetts",1834,0.664687328644931,72,2010-12-01,29.3723281907433,12,2010,1
"Red-winged Blackbird","Massachusetts",1400,0.527155631870157,72,2011-01-01,23.2474709677419,1,2011,1
"Red-winged Blackbird","Massachusetts",2350,0.460982915414019,140,2011-02-01,26.1843285714286,2,2011,1
"Red-winged Blackbird","Massachusetts",23996,0.554409635127511,1093,2011-03-01,35.7862129032258,3,2011,2
"Red-winged Blackbird","Massachusetts",21534,0.25001160234133,1836,2011-04-01,47.83712,4,2011,2
"Red-winged Blackbird","Massachusetts",19298,0.124129660385952,2374,2011-05-01,58.2953739002933,5,2011,2
"Red-winged Blackbird","Massachusetts",8511,0.148343865313864,1025,2011-06-01,65.2610638297872,6,2011,3
"Red-winged Blackbird","Massachusetts",7040,0.126429643805658,734,2011-07-01,73.1758339052848,7,2011,3
"Red-winged Blackbird","Massachusetts",5170,0.155806097735754,349,2011-08-01,70.5884621155289,8,2011,3
