"common_name","state","observation_count","observations_per_min_avg","presence_count","Month_Year","AvgMonthlyTemp_F","Month","Year","Season"
"Red-winged Blackbird","Massachusetts",11702,2.11949467359858,149,2010-01-01,26.949706744868,1,2010,1
"Red-winged Blackbird","Massachusetts",6141,0.400645843430448,180,2010-02-01,30.4433571428571,2,2010,1
"Red-winged Blackbird","Massachusetts",15980,0.506954201878124,816,2010-03-01,41.6835483870968,3,2010,2
"Red-winged Blackbird","Massachusetts",13963,0.196458169963777,1326,2010-04-01,50.6130465116279,4,2010,2
"Red-winged Blackbird","Massachusetts",17870,0.116768520294137,1880,2010-05-01,60.3645161290323,5,2010,2
"Red-winged Blackbird","Massachusetts",6277,0.148397777527218,770,2010-06-01,68.2840232558139,6,2010,3
"Red-winged Blackbird","Massachusetts",4975,0.127349868645656,576,2010-07-01,74.8229593267882,7,2010,3
"Red-winged Blackbird","Massachusetts",4321,0.134077820378376,294,2010-08-01,70.9345014662757,8,2010,3
"Red-winged Blackbird","Massachusetts",7970,0.406774558639922,208,2010-09-01,65.4812954545455,9,2010,4
"Red-winged Blackbird","Massachusetts",37721,1.01470628776573,382,2010-10-01,52.3573502304147,10,2010,4
"Red-winged Blackbird","Massachusetts",3319,0.433714821519001,124,2010-11-01,41.801,11,2010,4
"Red-winged Blackbird","Massachusetts",1834,0.664687328644931,72,2010-12-01,29.3723281907433,12,2010,1
"Red-winged Blackbird","Massachusetts",1400,0.527155631870157,72,2011-01-01,23.2474709677419,1,2011,1
"Red-winged Blackbird","Massachusetts",2350,0.460982915414019,140,2011-02-01,26.1843285714286,2,2011,1
"Red-winged Blackbird","Massachusetts",23996,0.554409635127511,1093,2011-03-01,35.7862129032258,3,2011,2
"Red-winged Blackbird","Massachusetts",21534,0.25001160234133,1836,2011-04-01,47.83712,4,2011,2
"Red-winged Blackbird","Massachusetts",19298,0.124129660385952,2374,2011-05-01,58.2953739002933,5,2011,2
"Red-winged Blackbird","Massachusetts",8511,0.148343865313864,1025,2011-06-01,65.2610638297872,6,2011,3
"Red-winged Blackbird","Massachusetts",7040,0.126429643805658,734,2011-07-01,73.1758339052848,7,2011,3
"Red-winged Blackbird","Massachusetts",5170,0.155806097735754,349,2011-08-01,70.5884621155289,8,2011,3
"Red-winged Blackbird","Massachusetts",3689,0.259045666276364,231,2011-09-01,65.4393125,9,2011,4
"Red-winged Blackbird","Massachusetts",15864,0.634484450829937,388,2011-10-01,53.4617073170732,10,2011,4
"Red-winged Blackbird","Massachusetts",2437,0.329732177770093,156,2011-11-01,46.186625,11,2011,4
"Red-winged Blackbird","Massachusetts",839,0.564996285197079,59,2011-12-01,36.8297483870968,12,2011,1
"Red-winged Blackbird","Massachusetts",10202,1.69859580991144,109,2012-01-01,31.0844173798552,1,2012,1
"Red-winged Blackbird","Massachusetts",17229,0.80339804185546,383,2012-02-01,33.8845024630542,2,2012,1
"Red-winged Blackbird","Massachusetts",40789,0.519180777892929,1541,2012-03-01,43.9299725463281,3,2012,2
"Red-winged Blackbird","Massachusetts",40116,0.279751164870207,2307,2012-04-01,49.2713529411765,4,2012,2
"Red-winged Blackbird","Massachusetts",28219,0.155474797327996,3085,2012-05-01,60.0282978723404,5,2012,2
"Red-winged Blackbird","Massachusetts",10229,0.136030823184014,1231,2012-06-01,65.1372352941176,6,2012,3
"Red-winged Blackbird","Massachusetts",9557,0.152826827109522,972,2012-07-01,73.5691129032258,7,2012,3
"Red-winged Blackbird","Massachusetts",6304,0.138595190782298,467,2012-08-01,72.4226227208976,8,2012,3
"Red-winged Blackbird","Massachusetts",10769,0.267378220427678,372,2012-09-01,62.67746,9,2012,4
"Red-winged Blackbird","Massachusetts",37635,0.675916913563681,634,2012-10-01,53.9055040322581,10,2012,4
"Red-winged Blackbird","Massachusetts",23741,0.78777018875308,346,2012-11-01,39.8664565217391,11,2012,4
"Red-winged Blackbird","Massachusetts",8472,2.30394547552184,129,2012-12-01,35.5828225806452,12,2012,1
"Red-winged Blackbird","Massachusetts",11335,0.628986675032774,199,2013-01-01,28.2578629032258,1,2013,1
"Red-winged Blackbird","Massachusetts",7612,0.650352689574318,163,2013-02-01,28.8065372670808,2,2013,1
"Red-winged Blackbird","Massachusetts",78543,0.855328642235313,2052,2013-03-01,35.5456925996205,3,2013,2
"Red-winged Blackbird","Massachusetts",41783,0.304369524291767,3356,2013-04-01,46.720875,4,2013,2
"Red-winged Blackbird","Massachusetts",36512,0.151995904679185,4469,2013-05-01,57.7919618169849,5,2013,2
"Red-winged Blackbird","Massachusetts",13699,0.119836637762002,1751,2013-06-01,67.19252,6,2013,3
"Red-winged Blackbird","Massachusetts",12057,0.170973895313743,1154,2013-07-01,75.39818959842,7,2013,3
"Red-winged Blackbird","Massachusetts",18121,0.393778425301933,619,2013-08-01,68.5961092824226,8,2013,3
"Red-winged Blackbird","Massachusetts",11382,0.587284737866688,393,2013-09-01,61.5058125,9,2013,4
"Red-winged Blackbird","Massachusetts",18003,0.376023815940234,640,2013-10-01,52.281935483871,10,2013,4
"Red-winged Blackbird","Massachusetts",13667,0.920724460702362,276,2013-11-01,39.5431875,11,2013,4
"Red-winged Blackbird","Massachusetts",2631,0.326081229105526,106,2013-12-01,30.8358064516129,12,2013,1
"Red-winged Blackbird","Massachusetts",12117,1.43117435886245,124,2014-01-01,24.0958133150309,1,2014,1
"Red-winged Blackbird","Massachusetts",26844,1.37679165263867,230,2014-02-01,25.4107798833819,2,2014,1
"Red-winged Blackbird","Massachusetts",57302,0.623289320776158,1749,2014-03-01,29.8226387096774,3,2014,2
"Red-winged Blackbird","Massachusetts",50590,0.294301862136961,3901,2014-04-01,46.07066,4,2014,2
"Red-winged Blackbird","Massachusetts",43317,0.152280273225238,5734,2014-05-01,57.243664516129,5,2014,2
"Red-winged Blackbird","Massachusetts",16601,0.138767095171098,2202,2014-06-01,66.053,6,2014,3
"Red-winged Blackbird","Massachusetts",14136,0.165518122207996,1563,2014-07-01,71.5809746053535,7,2014,3
"Red-winged Blackbird","Massachusetts",10530,0.194431935263873,918,2014-08-01,67.6474838709677,8,2014,3
