"common_name","state","observation_count","observations_per_min_avg","presence_count","Month_Year","AvgMonthlyTemp_F","Month","Year","Season"
"Wood Duck","Massachusetts",65,0.151494708994709,21,2010-01-01,26.949706744868,1,2010,1
"Wood Duck","Massachusetts",61,0.0759843304843305,20,2010-02-01,30.4433571428571,2,2010,1
"Wood Duck","Massachusetts",1116,0.126020170168953,194,2010-03-01,41.6835483870968,3,2010,2
"Wood Duck","Massachusetts",1410,0.0823029383545943,328,2010-04-01,50.6130465116279,4,2010,2
"Wood Duck","Massachusetts",1510,0.0547071968099693,368,2010-05-01,60.3645161290323,5,2010,2
"Wood Duck","Massachusetts",608,0.0750954198812808,109,2010-06-01,68.2840232558139,6,2010,3
"Wood Duck","Massachusetts",809,0.094665766461998,122,2010-07-01,74.8229593267882,7,2010,3
"Wood Duck","Massachusetts",1232,0.202193203809053,143,2010-08-01,70.9345014662757,8,2010,3
"Wood Duck","Massachusetts",2084,0.263668569598216,204,2010-09-01,65.4812954545455,9,2010,4
"Wood Duck","Massachusetts",3213,0.256434917546021,213,2010-10-01,52.3573502304147,10,2010,4
"Wood Duck","Massachusetts",1186,0.448136796264916,60,2010-11-01,41.801,11,2010,4
"Wood Duck","Massachusetts",233,0.157813739615231,33,2010-12-01,29.3723281907433,12,2010,1
"Wood Duck","Massachusetts",172,0.24840994110893,38,2011-01-01,23.2474709677419,1,2011,1
"Wood Duck","Massachusetts",109,0.14046592688715,25,2011-02-01,26.1843285714286,2,2011,1
"Wood Duck","Massachusetts",1641,0.201202419674087,257,2011-03-01,35.7862129032258,3,2011,2
"Wood Duck","Massachusetts",2128,0.0758946570008701,519,2011-04-01,47.83712,4,2011,2
"Wood Duck","Massachusetts",1622,0.063347765486393,507,2011-05-01,58.2953739002933,5,2011,2
"Wood Duck","Massachusetts",1001,0.0621400765364452,177,2011-06-01,65.2610638297872,6,2011,3
"Wood Duck","Massachusetts",686,0.0909467371226019,117,2011-07-01,73.1758339052848,7,2011,3
"Wood Duck","Massachusetts",903,0.142406510712079,147,2011-08-01,70.5884621155289,8,2011,3
"Wood Duck","Massachusetts",1539,0.147394214733016,200,2011-09-01,65.4393125,9,2011,4
"Wood Duck","Massachusetts",1431,0.136696840712464,226,2011-10-01,53.4617073170732,10,2011,4
"Wood Duck","Massachusetts",205,0.0952056187209183,56,2011-11-01,46.186625,11,2011,4
"Wood Duck","Massachusetts",23,0.0223918318149087,13,2011-12-01,36.8297483870968,12,2011,1
"Wood Duck","Massachusetts",9,0.0419738389182834,9,2012-01-01,31.0844173798552,1,2012,1
"Wood Duck","Massachusetts",87,0.0640303928723469,30,2012-02-01,33.8845024630542,2,2012,1
"Wood Duck","Massachusetts",2599,0.119668426005092,377,2012-03-01,43.9299725463281,3,2012,2
"Wood Duck","Massachusetts",3597,0.0886588228895912,750,2012-04-01,49.2713529411765,4,2012,2
"Wood Duck","Massachusetts",2580,0.0581069785936302,603,2012-05-01,60.0282978723404,5,2012,2
"Wood Duck","Massachusetts",1006,0.0857425165331452,175,2012-06-01,65.1372352941176,6,2012,3
"Wood Duck","Massachusetts",1818,0.154243556130902,248,2012-07-01,73.5691129032258,7,2012,3
"Wood Duck","Massachusetts",1857,0.213867004647766,220,2012-08-01,72.4226227208976,8,2012,3
"Wood Duck","Massachusetts",2696,0.147329042097594,343,2012-09-01,62.67746,9,2012,4
"Wood Duck","Massachusetts",4076,0.160945588685096,384,2012-10-01,53.9055040322581,10,2012,4
"Wood Duck","Massachusetts",311,0.070443198156929,85,2012-11-01,39.8664565217391,11,2012,4
"Wood Duck","Massachusetts",45,0.100729341984935,22,2012-12-01,35.5828225806452,12,2012,1
"Wood Duck","Massachusetts",25,0.092887847446671,16,2013-01-01,28.2578629032258,1,2013,1
"Wood Duck","Massachusetts",64,0.0648141729358919,38,2013-02-01,28.8065372670808,2,2013,1
"Wood Duck","Massachusetts",2896,0.136951677875091,575,2013-03-01,35.5456925996205,3,2013,2
"Wood Duck","Massachusetts",3823,0.087969810148887,1008,2013-04-01,46.720875,4,2013,2
"Wood Duck","Massachusetts",3291,0.0674107188581495,754,2013-05-01,57.7919618169849,5,2013,2
"Wood Duck","Massachusetts",923,0.0585511886326611,222,2013-06-01,67.19252,6,2013,3
"Wood Duck","Massachusetts",2535,0.191615671536652,211,2013-07-01,75.39818959842,7,2013,3
"Wood Duck","Massachusetts",2588,0.173186073924356,330,2013-08-01,68.5961092824226,8,2013,3
"Wood Duck","Massachusetts",3121,0.16097610337775,386,2013-09-01,61.5058125,9,2013,4
"Wood Duck","Massachusetts",3557,0.249598761896857,408,2013-10-01,52.281935483871,10,2013,4
"Wood Duck","Massachusetts",1807,0.282850867356177,195,2013-11-01,39.5431875,11,2013,4
"Wood Duck","Massachusetts",297,0.222578260794624,45,2013-12-01,30.8358064516129,12,2013,1
"Wood Duck","Massachusetts",264,0.33674580908563,49,2014-01-01,24.0958133150309,1,2014,1
"Wood Duck","Massachusetts",202,0.110910348039429,71,2014-02-01,25.4107798833819,2,2014,1
"Wood Duck","Massachusetts",4650,0.271863836064515,538,2014-03-01,29.8226387096774,3,2014,2
"Wood Duck","Massachusetts",5763,0.116192185005797,1197,2014-04-01,46.07066,4,2014,2
"Wood Duck","Massachusetts",3581,0.0657262236137112,1072,2014-05-01,57.243664516129,5,2014,2
"Wood Duck","Massachusetts",1868,0.137180984892184,315,2014-06-01,66.053,6,2014,3
"Wood Duck","Massachusetts",2083,0.214765706310508,264,2014-07-01,71.5809746053535,7,2014,3
"Wood Duck","Massachusetts",4043,0.262263303140869,398,2014-08-01,67.6474838709677,8,2014,3
"Wood Duck","Massachusetts",6372,0.256630776654845,508,2014-09-01,62.8805,9,2014,4
"Wood Duck","Massachusetts",5254,0.300177499310707,512,2014-10-01,53.6208274894811,10,2014,4
"Wood Duck","Massachusetts",1485,0.389450340675718,220,2014-11-01,39.5596808510638,11,2014,4
"Wood Duck","Massachusetts",141,0.107249223166215,43,2014-12-01,35.8349798387097,12,2014,1
"Wood Duck","Massachusetts",183,0.101107208925171,78,2015-01-01,22.8381935483871,1,2015,1
"Wood Duck","Massachusetts",22,0.0554591836734694,14,2015-02-01,15.4471590909091,2,2015,1
"Wood Duck","Massachusetts",2455,0.258940998138708,416,2015-03-01,29.8585685483871,3,2015,2
"Wood Duck","Massachusetts",8012,0.160601928870972,1463,2015-04-01,45.8515744680851,4,2015,2
"Wood Duck","Massachusetts",3550,0.051838673887608,1114,2015-05-01,61.4775403225806,5,2015,2
"Wood Duck","Massachusetts",1467,0.0953990805843855,267,2015-06-01,63.7288125,6,2015,3
"Wood Duck","Massachusetts",1829,0.150055061491003,269,2015-07-01,71.4760151802656,7,2015,3
"Wood Duck","Massachusetts",3519,0.235806956570233,414,2015-08-01,72.097587657784,8,2015,3
"Wood Duck","Massachusetts",4894,0.216797260109819,509,2015-09-01,66.5470816326531,9,2015,4
"Wood Duck","Massachusetts",5626,0.328619075546296,589,2015-10-01,50.7000921658986,10,2015,4
"Wood Duck","Massachusetts",1781,0.168630465234643,280,2015-11-01,45.2705319148936,11,2015,4
"Wood Duck","Massachusetts",384,0.156400669370571,80,2015-12-01,42.769608785175,12,2015,1
"Wood Duck","Massachusetts",828,0.26787038514061,129,2016-01-01,29.4114962251201,1,2016,1
"Wood Duck","Massachusetts",614,0.13963751043548,149,2016-02-01,31.698,2,2016,1
"Wood Duck","Massachusetts",4560,0.14476073899052,984,2016-03-01,41.0713452299245,3,2016,2
"Wood Duck","Massachusetts",5678,0.0892895938600346,1524,2016-04-01,45.3402,4,2016,2
"Wood Duck","Massachusetts",4882,0.0661062490838547,1247,2016-05-01,57.2537405628003,5,2016,2
"Wood Duck","Massachusetts",2805,0.144050267344811,446,2016-06-01,66.450125,6,2016,3
"Wood Duck","Massachusetts",3830,0.197270546730014,478,2016-07-01,73.2790967741935,7,2016,3
"Wood Duck","Massachusetts",6494,0.239339395748656,657,2016-08-01,73.1702217741935,8,2016,3
"Wood Duck","Massachusetts",7710,0.2658207667446,668,2016-09-01,65.2137021276596,9,2016,4
"Wood Duck","Massachusetts",5714,0.282286709987359,649,2016-10-01,52.7074061882818,10,2016,4
"Wood Duck","Massachusetts",1628,0.234464372456814,223,2016-11-01,43.0043673469388,11,2016,4
"Wood Duck","Massachusetts",632,0.453174373438243,77,2016-12-01,32.2358709677419,12,2016,1
"Wood Duck","Massachusetts",443,0.194902711177295,115,2017-01-01,32.1726530612245,1,2017,1
"Wood Duck","Massachusetts",610,0.172367855689481,153,2017-02-01,33.4551139817629,2,2017,1
"Wood Duck","Massachusetts",4992,0.292183667908638,710,2017-03-01,31.8796050032916,3,2017,2
"Wood Duck","Massachusetts",5315,0.0823388917519057,1494,2017-04-01,50.3892,4,2017,2
"Wood Duck","Massachusetts",3015,0.0528264027520913,1082,2017-05-01,55.3712976539589,5,2017,2
"Wood Duck","Massachusetts",1496,0.0802017502788644,339,2017-06-01,66.382625,6,2017,3
"Wood Duck","Massachusetts",2559,0.133361872935169,393,2017-07-01,70.4561290322581,7,2017,3
"Wood Duck","Massachusetts",4588,0.191347173727585,526,2017-08-01,68.8856732117812,8,2017,3
"Wood Duck","Massachusetts",4536,0.17471076124309,545,2017-09-01,65.5350909090909,9,2017,4
"Wood Duck","Massachusetts",5095,0.277637516339536,570,2017-10-01,58.1539876458476,10,2017,4
